epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1043.33,1.13508,1.29292,1.15453,0.69386,0.61963,0.57148,0.15324,2.56323,2.50576,2.52278,0.0010628,0.0010628,0.0010628
73,1058.3,1.19931,1.35589,1.14961,0.69386,0.61963,0.57148,0.15324,2.56323,2.50576,2.52278,0.0010496,0.0010496,0.0010496
74,1072.92,1.20772,1.38835,1.21777,0.78549,0.36364,0.47605,0.15821,2.34418,2.33133,2.41506,0.0010364,0.0010364,0.0010364
75,1087.49,1.24699,1.32474,1.17673,0.89118,0.36364,0.45136,0.14643,2.29632,2.68394,2.13753,0.0010232,0.0010232,0.0010232
76,1102.1,1.25578,1.29926,1.1972,0.65287,0.36364,0.45468,0.13774,2.11577,2.75056,1.99144,0.00101,0.00101,0.00101
77,1116.63,1.12755,1.22866,1.10812,0.65287,0.36364,0.45468,0.13774,2.11577,2.75056,1.99144,0.0009968,0.0009968,0.0009968
78,1131.34,1.12907,1.16447,1.12529,0.49267,0.54545,0.55115,0.18558,2.10398,2.51353,1.87809,0.0009836,0.0009836,0.0009836
79,1146.59,1.0789,1.15217,1.11698,0.6946,0.63636,0.66435,0.24848,1.95294,2.34516,1.76793,0.0009704,0.0009704,0.0009704
80,1161.56,1.16405,1.24824,1.20511,0.61495,0.72605,0.6646,0.30994,1.81026,2.08427,1.64514,0.0009572,0.0009572,0.0009572
81,1176.51,1.13107,1.08897,1.12738,0.61495,0.72605,0.6646,0.30994,1.81026,2.08427,1.64514,0.000944,0.000944,0.000944
82,1191.23,1.17722,1.24741,1.19322,0.6209,0.63636,0.60858,0.30188,1.87143,1.90597,1.62458,0.0009308,0.0009308,0.0009308
83,1205.33,1.1095,1.21344,1.11009,0.68361,0.63636,0.67505,0.28743,2.00596,1.88879,1.67813,0.0009176,0.0009176,0.0009176
84,1219.48,1.15331,1.16044,1.0692,0.78349,0.63636,0.72591,0.28471,2.04585,1.89315,1.70765,0.0009044,0.0009044,0.0009044
85,1233.68,1.12063,1.15336,1.12815,0.78349,0.63636,0.72591,0.28471,2.04585,1.89315,1.70765,0.0008912,0.0008912,0.0008912
86,1247.71,1.11059,1.20238,1.1329,0.67713,0.76436,0.78369,0.31291,2.01376,1.83361,1.68052,0.000878,0.000878,0.000878
87,1261.83,1.09789,1.15122,1.13629,0.77458,0.6259,0.69787,0.31823,1.90954,1.78123,1.66693,0.0008648,0.0008648,0.0008648
88,1276.37,1.09763,1.08704,1.07018,0.7744,0.62529,0.69158,0.32481,1.87549,1.77285,1.66272,0.0008516,0.0008516,0.0008516
89,1290.82,1.27756,1.27358,1.16219,0.7744,0.62529,0.69158,0.32481,1.87549,1.77285,1.66272,0.0008384,0.0008384,0.0008384
90,1305.36,1.13029,1.12876,1.12948,0.77113,0.72727,0.7475,0.28333,1.90587,1.79902,1.70939,0.0008252,0.0008252,0.0008252
91,1319.89,1.09367,1.11276,1.10571,0.79631,0.72727,0.73517,0.26691,1.90307,1.9411,1.74009,0.000812,0.000812,0.000812
92,1334.13,1.15574,1.06552,1.16922,0.59351,0.72727,0.57241,0.20436,1.98195,2.08115,1.76451,0.0007988,0.0007988,0.0007988
93,1348.32,1.08813,1.06319,1.09735,0.59351,0.72727,0.57241,0.20436,1.98195,2.08115,1.76451,0.0007856,0.0007856,0.0007856
94,1363.39,1.04668,1.05534,1.0612,0.87267,0.62452,0.66082,0.20442,2.06032,2.05161,1.86098,0.0007724,0.0007724,0.0007724
95,1379.05,1.00856,0.98114,1.05253,0.6952,0.63636,0.60724,0.21571,2.06736,2.08396,1.86547,0.0007592,0.0007592,0.0007592
96,1394.58,1.10726,1.07007,1.17724,0.84244,0.63636,0.66684,0.25248,2.12618,2.05207,1.93495,0.000746,0.000746,0.000746
97,1409.94,1.03355,1.03986,1.10921,0.84244,0.63636,0.66684,0.25248,2.12618,2.05207,1.93495,0.0007328,0.0007328,0.0007328
98,1425.57,1.01248,1.09292,1.08035,0.85659,0.63636,0.6492,0.26707,2.03012,1.92452,1.75624,0.0007196,0.0007196,0.0007196
99,1441.35,1.01462,1.04147,1.08772,0.85424,0.63636,0.64221,0.29057,1.98374,1.88522,1.67009,0.0007064,0.0007064,0.0007064
100,1457.12,1.11428,1.18099,1.14896,0.97675,0.63636,0.69461,0.33472,1.89265,1.73845,1.60002,0.0006932,0.0006932,0.0006932
101,1472.74,1.02497,1.07369,1.10999,0.97675,0.63636,0.69461,0.33472,1.89265,1.73845,1.60002,0.00068,0.00068,0.00068
102,1487.34,1.01857,1.00563,1.03695,0.8396,0.63636,0.68148,0.30741,1.89782,1.82933,1.61135,0.0006668,0.0006668,0.0006668
103,1501.77,0.98128,0.93663,1.06427,0.77156,0.61602,0.68254,0.31187,1.80929,1.88033,1.5469,0.0006536,0.0006536,0.0006536
